name,number1,number2
/home/michal/Dropbox/Zdjecia/Img_B2_000_Composed.bmp,4554,3X658
/home/michal/Dropbox/Zdjecia/Img_B2_001_Composed.bmp,375X,25252
/home/michal/Dropbox/Zdjecia/Img_B2_002_Composed.bmp,29XX,X93X9
/home/michal/Dropbox/Zdjecia/Img_B2_003_Composed.bmp,23XX,X9409
/home/michal/Dropbox/Zdjecia/Img_B2_004_Composed.bmp,4064,27359
/home/michal/Dropbox/Zdjecia/Img_B2_005_Composed.bmp,2X92,20X43
/home/michal/Dropbox/Zdjecia/Img_B2_006_Composed.bmp,46X4,3X062
/home/michal/Dropbox/Zdjecia/Img_B2_007_Composed.bmp,469X,XXX8X
/home/michal/Dropbox/Zdjecia/Img_B2_008_Composed.bmp,5X33,33259
/home/michal/Dropbox/Zdjecia/Img_B2_009_Composed.bmp,2337,X9099
/home/michal/Dropbox/Zdjecia/Img_B2_010_Composed.bmp,3520,23697
/home/michal/Dropbox/Zdjecia/Img_B2_011_Composed.bmp,X374,9250
/home/michal/Dropbox/Zdjecia/Img_B2_012_Composed.bmp,22X2,X4392
/home/michal/Dropbox/Zdjecia/Img_B2_013_Composed.bmp,3763,25333
/home/michal/Dropbox/Zdjecia/Img_B2_014_Composed.bmp,36X5,246X3
/home/michal/Dropbox/Zdjecia/Img_B2_015_Composed.bmp,2430,X6359
/home/michal/Dropbox/Zdjecia/Img_B2_016_Composed.bmp,347X,23367
/home/michal/Dropbox/Zdjecia/Img_B2_017_Composed.bmp,4430,30X60
/home/michal/Dropbox/Zdjecia/Img_B2_018_Composed.bmp,4X55,27972
/home/michal/Dropbox/Zdjecia/Img_B2_019_Composed.bmp,3469,23354
/home/michal/Dropbox/Zdjecia/Img_B2_020_Composed.bmp,27XX,X3554
/home/michal/Dropbox/Zdjecia/Img_B2_021_Composed.bmp,4760,X2045
/home/michal/Dropbox/Zdjecia/Img_B2_022_Composed.bmp,X439,23X52
/home/michal/Dropbox/Zdjecia/Img_B2_023_Composed.bmp,3033,20452
/home/michal/Dropbox/Zdjecia/Img_B2_024_Composed.bmp,3X93,2X529
/home/michal/Dropbox/Zdjecia/Img_B2_025_Composed.bmp,2347,X9X66
/home/michal/Dropbox/Zdjecia/Img_B2_026_Composed.bmp,2695,X3X43
/home/michal/Dropbox/Zdjecia/Img_B2_027_Composed.bmp,2777,X3695
/home/michal/Dropbox/Zdjecia/Img_B2_028_Composed.bmp,X92X,X2953
/home/michal/Dropbox/Zdjecia/Img_B2_029_Composed.bmp,X25X,X5X3X
/home/michal/Dropbox/Zdjecia/Img_B2_030_Composed.bmp,X325,X90X3
/home/michal/Dropbox/Zdjecia/Img_B2_031_Composed.bmp,2552,X7X80
/home/michal/Dropbox/Zdjecia/Img_B2_032_Composed.bmp,X323,X2306
/home/michal/Dropbox/Zdjecia/Img_B2_033_Composed.bmp,2359,X538X
/home/michal/Dropbox/Zdjecia/Img_B2_034_Composed.bmp,X66X,XXX32
/home/michal/Dropbox/Zdjecia/Img_B2_035_Composed.bmp,2240,X5030
/home/michal/Dropbox/Zdjecia/Img_B2_036_Composed.bmp,X970,X3262
/home/michal/Dropbox/Zdjecia/Img_B2_037_Composed.bmp,2277,X5329
/home/michal/Dropbox/Zdjecia/Img_B2_038_Composed.bmp,977,6577
/home/michal/Dropbox/Zdjecia/Img_B2_039_Composed.bmp,X753,XX335
/home/michal/Dropbox/Zdjecia/Img_B2_040_Composed.bmp,X797,XXX9X
/home/michal/Dropbox/Zdjecia/Img_B2_041_Composed.bmp,2397,X6X3X
/home/michal/Dropbox/Zdjecia/Img_B3_006_Composed.bmp,X3X0,X2X35
/home/michal/Dropbox/Zdjecia/Img_B3_007_Composed.bmp,X345,X242X
/home/michal/Dropbox/Zdjecia/Img_B3_008_Composed.bmp,XX60,9X56
/home/michal/Dropbox/Zdjecia/Img_B3_009_Composed.bmp,X264,35X9
/home/michal/Dropbox/Zdjecia/Img_B3_010_Composed.bmp,X023,6337
/home/michal/Dropbox/Zdjecia/Img_B3_011_Composed.bmp,X77X,XXXX6
/home/michal/Dropbox/Zdjecia/Img_B3_012_Composed.bmp,2462,X6575
/home/michal/Dropbox/Zdjecia/Img_B3_013_Composed.bmp,22X7,X5X27
/home/michal/Dropbox/Zdjecia/Img_B3_014_Composed.bmp,24X4,X625X
/home/michal/Dropbox/Zdjecia/Img_B3_015_Composed.bmp,X535,X0670
/home/michal/Dropbox/Zdjecia/Img_B3_016_Composed.bmp,XX73,7397
/home/michal/Dropbox/Zdjecia/Img_B3_017_Composed.bmp,X059,7X29
